PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,credentialless,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
1,0,50,50,5978,5978,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,q,space,space,1,10460,10460,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_sheng3,stim_sheng3,1024,2,48000,-16,experiment,,0,even,72022,38981,152,82493,39124,26927,50570,36892,38141,68913,70472,68882,114,29187,24376,42195,Nouvelle expérience,3,35870,6,1024
1,0,57,57,5394,5394,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,1886,1886,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,fill_pan1,fill_pan3,1024,2,48000,-16,experiment,,0,even,84823,38981,152,86725,39124,26927,50570,36892,38141,82500,83433,68882,114,29187,24376,42195,Nouvelle expérience,4,37756,7,1024
1,0,63,63,4721,4721,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,q,space,space,1,13,13,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_yi1,stim_yi1,1024,2,48000,-16,experiment,,0,even,88603,38981,152,88624,39124,26927,50570,36892,38141,86728,87673,68882,114,29187,24376,42195,Nouvelle expérience,5,37769,8,1024
1,0,67,67,4235,4235,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,345,345,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,0,even,91473,38981,152,91823,39124,26927,50570,36892,38141,88628,90423,68882,114,29187,24376,42195,Nouvelle expérience,6,38114,9,1024
1,0,70,70,3915,3915,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,q,space,space,1,1035,1035,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,fill_yu3,fill_yu3,1024,2,48000,-16,experiment,,0,even,94705,38981,152,95755,39124,26927,50570,36892,38141,91827,93253,68882,114,29187,24376,42195,Nouvelle expérience,7,39149,10,1024
1,0,73,73,3636,3636,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,850,850,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,0,even,97963,38981,152,98822,39124,26927,50570,36892,38141,95759,96964,68882,114,29187,24376,42195,Nouvelle expérience,8,39999,11,1024
1,0,75,75,3508,3508,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,2098,2098,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_dao2,stim_dao4,1024,2,48000,-16,experiment,,0,even,101903,38981,152,104004,39124,26927,50570,36892,38141,98825,100623,68882,114,29187,24376,42195,Nouvelle expérience,9,42097,12,1024
1,0,77,77,3465,3465,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,2951,2951,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,fill_bao3,fill_dao3,1024,2,48000,-16,experiment,,0,even,106523,38981,152,109485,39124,26927,50570,36892,38141,104007,105473,68882,114,29187,24376,42195,Nouvelle expérience,10,45048,13,1024
1,0,79,79,3258,3258,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,q,space,space,1,558,558,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,0,even,111724,38981,152,112285,39124,26927,50570,36892,38141,109489,110693,68882,114,29187,24376,42195,Nouvelle expérience,11,45606,14,1024
1,0,80,80,3063,3063,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,0,,305.7381736697245,-300.24237124868336,Thu Apr 24 2025 23:31:57 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,q,space,space,1,338,338,141,3054,2248,18302,4260,2544,8364,space,space,space,2,osweb,0,0,0,0,0,2,1745530348744,train_a1,train_e1,stim_ma2,stim_ma2,1024,2,48000,-16,experiment,,0,even,114284,38981,152,114633,39124,26927,50570,36892,38141,112287,113285,68882,114,29187,24376,42195,Nouvelle expérience,12,45944,15,1024
