acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
33,33,7367,7367,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,40503,40503,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_tao2,fill_tiao4,1024,2,48000,-16,experiment,,0,even,31222,25215,152,71740,25343,18826,26626,23110,24361,28609,30091,28576,136,19279,17832,25728,Nouvelle expérience,2,44199,6,1024
43,43,6351,6351,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,260,260,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,stim_ban1,stim_ban3,1024,2,48000,-16,experiment,,0,even,74421,25215,152,74690,25343,18826,26626,23110,24361,71750,72949,28576,136,19279,17832,25728,Nouvelle expérience,3,44459,7,1024
38,38,5596,5596,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,308,308,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,stim_dao2,stim_dao4,1024,2,48000,-16,experiment,,0,even,77792,25215,152,78106,25343,18826,26626,23110,24361,74692,76501,28576,136,19279,17832,25728,Nouvelle expérience,3,44767,8,1024
44,44,4999,4999,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,221,221,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_li1,fill_la1,1024,2,48000,-16,experiment,,0,even,80939,25215,152,81173,25343,18826,26626,23110,24361,78109,79637,28576,136,19279,17832,25728,Nouvelle expérience,4,44988,9,1024
50,50,4510,4510,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,108,108,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_mi1,fill_bi1,1024,2,48000,-16,experiment,,0,even,83615,25215,152,83739,25343,18826,26626,23110,24361,81176,82496,28576,136,19279,17832,25728,Nouvelle expérience,5,45096,10,1024
45,45,4113,4113,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,151,151,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_la1,fill_ma1,1024,2,48000,-16,experiment,,0,even,86260,25215,152,86422,25343,18826,26626,23110,24361,83741,85034,28576,136,19279,17832,25728,Nouvelle expérience,5,45247,11,1024
50,50,3802,3802,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,372,372,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,stim_yi2,stim_yi1,1024,2,48000,-16,experiment,,0,even,88448,25215,152,88822,25343,18826,26626,23110,24361,86425,87498,28576,136,19279,17832,25728,Nouvelle expérience,6,45619,12,1024
54,54,3526,3526,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,214,214,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_la2,fill_ma2,1024,2,48000,-16,experiment,,0,even,91179,25215,152,91405,25343,18826,26626,23110,24361,88824,90165,28576,136,19279,17832,25728,Nouvelle expérience,7,45833,13,1024
57,57,3282,3282,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,120,120,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,0,even,93642,25215,152,93772,25343,18826,26626,23110,24361,91407,92629,28576,136,19279,17832,25728,Nouvelle expérience,8,45953,14,1024
60,60,3075,3075,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,stim0,193.64952476807315,-11.135529891330286,Sat Apr 26 2025 11:39:15 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,169,169,117,373,444,1934,756,981,889,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660435142,train_a1,train_e1,fill_sheng1,fill_shong1,1024,2,48000,-16,experiment,,0,even,96139,25215,152,96321,25343,18826,26626,23110,24361,93775,94975,28576,136,19279,17832,25728,Nouvelle expérience,9,46122,15,1024
