acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
33,33,6886,6886,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,-78,43.25,Tue Apr 22 2025 14:16:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,869,1680,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,141,,osweb,2.2.1,https://jatos.mindprobe.eu,1026,1696,0,0,1,0,m,m,q,space,space,1,21271,21271,956,6943,2002,9368,979,8169,3509,space,m,space,2,osweb,-8,-8,-8,-8,0,0,0,0,1745324184848,train_a1,train_e1,stim_yi2,stim_yi1,1024,2,48000,-16,experiment,,1,odd,54118,30827,133,75407,31790,22315,42264,28721,29976,51712,53169,51638,116,24338,14135,38751,Nouvelle expérience,2,41318,6,1024
43,43,6003,6003,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,,-78,43.25,Tue Apr 22 2025 14:16:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,869,1680,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,141,,osweb,2.2.1,https://jatos.mindprobe.eu,1026,1696,0,0,1,0,m,m,q,space,space,1,702,702,956,6943,2002,9368,979,8169,3509,space,m,space,2,osweb,-8,-8,-8,-8,0,0,0,0,1745324184848,train_a1,train_e1,stim_ma2,stim_ma2,1024,2,48000,-16,experiment,,1,odd,77439,30827,133,78142,31790,22315,42264,28721,29976,75419,76429,51638,116,24338,14135,38751,Nouvelle expérience,3,42020,7,1024
38,38,5475,5475,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,,-78,43.25,Tue Apr 22 2025 14:16:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,869,1680,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,141,,osweb,2.2.1,https://jatos.mindprobe.eu,1026,1696,0,0,1,0,q,q,q,space,space,1,1783,1783,956,6943,2002,9368,979,8169,3509,space,m,space,2,osweb,-8,-8,-8,-8,0,0,0,0,1745324184848,train_a1,train_e1,stim_ban2,stim_ban2,1024,2,48000,-16,experiment,,1,odd,80510,30827,133,82295,31790,22315,42264,28721,29976,78149,79330,51638,116,24338,14135,38751,Nouvelle expérience,3,43803,8,1024
44,44,4891,4891,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,,-78,43.25,Tue Apr 22 2025 14:16:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,869,1680,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,141,,osweb,2.2.1,https://jatos.mindprobe.eu,1026,1696,0,0,1,0,m,m,q,space,space,1,218,218,956,6943,2002,9368,979,8169,3509,space,m,space,2,osweb,-8,-8,-8,-8,0,0,0,0,1745324184848,train_a1,train_e1,stim_dao3,stim_dao3,1024,2,48000,-16,experiment,,1,odd,84419,30827,133,84647,31790,22315,42264,28721,29976,82301,83359,51638,116,24338,14135,38751,Nouvelle expérience,4,44021,9,1024
