acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
63,63,2278,2278,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,10,1,0,0,0,0,10,0,0,0,0,1,1,10,10,0,10,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,296,296,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_sheng1,stim_sheng2,1024,2,48000,-16,experiment,,0,even,92437,27640,147,92740,28410,21611,31694,25529,26786,89861,91061,34177,131,22180,20333,30747,Nouvelle expérience,10,36448,16,1024
65,65,2150,2150,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,11,1,0,0,0,0,11,0,0,0,0,1,1,11,11,0,11,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,97,97,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_seng1,fill_seng2,1024,2,48000,-16,experiment,,0,even,95445,27640,147,95557,28410,21611,31694,25529,26786,92742,94240,34177,131,22180,20333,30747,Nouvelle expérience,11,36545,17,1024
67,67,2047,2047,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,12,1,0,0,0,0,12,0,0,0,0,1,1,12,12,0,12,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,295,295,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_sheng4,stim_sheng4,1024,2,48000,-16,experiment,,0,even,97963,27640,147,98273,28410,21611,31694,25529,26786,95558,96758,34177,131,22180,20333,30747,Nouvelle expérience,12,36840,18,1024
63,63,1939,1939,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,13,1,0,0,0,0,13,0,0,0,0,1,1,13,13,0,13,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,9,9,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_yi2,stim_yi1,1024,2,48000,-16,experiment,,0,even,100299,27640,147,100323,28410,21611,31694,25529,26786,98275,99350,34177,131,22180,20333,30747,Nouvelle expérience,12,36849,19,1024
60,60,1852,1852,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,14,1,0,0,0,0,14,0,0,0,0,1,1,14,14,0,14,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,193,193,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_dao1,stim_dao4,1024,2,48000,-16,experiment,,0,even,102827,27640,147,103023,28410,21611,31694,25529,26786,100325,101536,34177,131,22180,20333,30747,Nouvelle expérience,12,37042,20,1024
62,62,1776,1776,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,15,1,0,0,0,0,15,0,0,0,0,1,1,15,15,0,15,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,252,252,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,0,even,105280,27640,147,105539,28410,21611,31694,25529,26786,103025,104246,34177,131,22180,20333,30747,Nouvelle expérience,13,37294,21,1024
59,59,1722,1722,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,16,1,0,0,0,0,16,0,0,0,0,1,1,16,16,0,16,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,589,589,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_pan3,fill_pan3,1024,2,48000,-16,experiment,,0,even,108331,27640,147,108923,28410,21611,31694,25529,26786,105541,106933,34177,131,22180,20333,30747,Nouvelle expérience,13,37883,22,1024
61,61,1651,1651,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,17,1,0,0,0,0,17,0,0,0,0,1,1,17,17,0,17,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,88,88,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_tao1,fill_mao1,1024,2,48000,-16,experiment,,0,even,111308,27640,147,111406,28410,21611,31694,25529,26786,108925,110134,34177,131,22180,20333,30747,Nouvelle expérience,14,37971,23,1024
58,58,1586,1586,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,18,1,0,0,0,0,18,0,0,0,0,1,1,18,18,0,18,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,90,90,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,0,even,113643,27640,147,113738,28410,21611,31694,25529,26786,111411,112630,34177,131,22180,20333,30747,Nouvelle expérience,14,38061,24,1024
56,56,1524,1524,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,19,1,0,0,0,0,19,0,0,0,0,1,1,19,19,0,19,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,48,48,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_la2,fill_ma2,1024,2,48000,-16,experiment,,0,even,116096,27640,147,116156,28410,21611,31694,25529,26786,113741,115083,34177,131,22180,20333,30747,Nouvelle expérience,14,38109,25,1024
