acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
17,17,17697,17697,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,99782,99782,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,fill_seng4,fill_seng4,1024,2,48000,-16,experiment,,0,even,97216,75103,169,197002,76574,66124,92106,72992,74249,93326,95318,93290,148,66711,48009,77395,Nouvelle expérience,1,106182,6,1024
14,14,15940,15940,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,5397,5397,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,fill_pan2,fill_pan2,1024,2,48000,-16,experiment,,0,even,199723,75103,169,205133,76574,66124,92106,72992,74249,197012,198368,93290,148,66711,48009,77395,Nouvelle expérience,1,111579,7,1024
13,13,14022,14022,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,600,600,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,0,even,207392,75103,169,207999,76574,66124,92106,72992,74249,205135,206357,93290,148,66711,48009,77395,Nouvelle expérience,1,112179,8,1024
11,11,12505,12505,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,366,366,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_yi2,stim_yi1,1024,2,48000,-16,experiment,,0,even,210027,75103,169,210399,76574,66124,92106,72992,74249,208002,209077,93290,148,66711,48009,77395,Nouvelle expérience,1,112545,9,1024
20,20,11354,11354,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,994,994,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_yi1,stim_yi1,1024,2,48000,-16,experiment,,0,even,212299,75103,169,213299,76574,66124,92106,72992,74249,210401,211349,93290,148,66711,48009,77395,Nouvelle expérience,2,113539,10,1024
18,18,10399,10399,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,855,855,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,0,even,215541,75103,169,216399,76574,66124,92106,72992,74249,213301,214528,93290,148,66711,48009,77395,Nouvelle expérience,2,114394,11,1024
17,17,9580,9580,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,560,560,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_yi3,stim_yi3,1024,2,48000,-16,experiment,,0,even,219744,75103,169,220316,76574,66124,92106,72992,74249,216402,218069,93290,148,66711,48009,77395,Nouvelle expérience,2,114954,12,1024
15,15,8849,8849,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,89,89,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,stim_ma2,stim_ma4,1024,2,48000,-16,experiment,,0,even,222357,75103,169,222448,76574,66124,92106,72992,74249,220318,221322,93290,148,66711,48009,77395,Nouvelle expérience,2,115043,13,1024
21,21,8240,8240,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,320,320,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,fill_bao3,fill_dao3,1024,2,48000,-16,experiment,,0,even,224970,75103,169,225298,76574,66124,92106,72992,74249,222450,223915,93290,148,66711,48009,77395,Nouvelle expérience,3,115363,14,1024
27,27,7693,7693,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,,242.3341525912005,-72.63190187843853,Fri Apr 25 2025 19:06:25 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,28,28,1467,810,574,1183,1641,18103,14708,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745600796563,train_a1,train_e1,fill_seng1,fill_song1,1024,2,48000,-16,experiment,,0,even,227882,75103,169,227915,76574,66124,92106,72992,74249,225300,226795,93290,148,66711,48009,77395,Nouvelle expérience,4,115391,15,1024
