PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,credentialless,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
1,0,33,33,35446,35446,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,127512,127512,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_yi1,stim_yi1,1024,2,48000,-16,experiment,,1,odd,290259,274009,307,417790,275612,167042,286740,271927,273169,288392,289330,288325,276,234306,153757,278152,Nouvelle expérience,2,212675,6,1024
1,0,43,43,30533,30533,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,1057,1057,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,fill_seng1,fill_seng2,1024,2,48000,-16,experiment,,1,odd,421239,274009,307,422306,275612,167042,286740,271927,273169,417895,420039,288325,276,234306,153757,278152,Nouvelle expérience,3,213732,7,1024
1,0,38,38,26883,26883,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,m,m,q,space,space,1,1330,1330,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_ma2,stim_ma4,1024,2,48000,-16,experiment,,1,odd,424328,274009,307,425660,275612,167042,286740,271927,273169,422311,423309,288325,276,234306,153757,278152,Nouvelle expérience,3,215062,8,1024
1,0,44,44,24117,24117,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,1987,1987,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,fill_la2,fill_ma2,1024,2,48000,-16,experiment,,1,odd,427989,274009,307,429981,275612,167042,286740,271927,273169,425665,426988,288325,276,234306,153757,278152,Nouvelle expérience,4,217049,9,1024
1,0,50,50,21789,21789,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,843,843,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,fill_la1,fill_ma1,1024,2,48000,-16,experiment,,1,odd,432478,274009,307,433335,275612,167042,286740,271927,273169,429986,431268,288325,276,234306,153757,278152,Nouvelle expérience,5,217892,10,1024
1,0,55,55,19888,19888,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,875,875,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_ban1,stim_ban3,1024,2,48000,-16,experiment,,1,odd,435989,274009,307,436872,275612,167042,286740,271927,273169,433340,434528,288325,276,234306,153757,278152,Nouvelle expérience,6,218767,11,1024
1,0,58,58,18428,18428,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,2372,2372,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,fill_sheng1,fill_shong1,1024,2,48000,-16,experiment,,1,odd,439209,274009,307,441595,275612,167042,286740,271927,273169,436877,438059,288325,276,234306,153757,278152,Nouvelle expérience,7,221139,12,1024
1,0,62,62,17350,17350,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,4413,4413,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,1,odd,444449,274009,307,448868,275612,167042,286740,271927,273169,441600,443398,288325,276,234306,153757,278152,Nouvelle expérience,8,225552,13,1024
1,0,64,64,16131,16131,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,q,q,q,space,space,1,282,282,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_ban2,stim_ban4,1024,2,48000,-16,experiment,,1,odd,450997,274009,307,451288,275612,167042,286740,271927,273169,448873,450038,288325,276,234306,153757,278152,Nouvelle expérience,9,225834,14,1024
1,0,60,60,15098,15098,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,0,,64.2666204711811,-233.11312333659313,Fri Apr 25 2025 19:28:05 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,641,1272,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,720,1280,0,2,1,0,m,m,q,space,space,1,629,629,1597,2522,67207,1572,22758,13281,8582,4,},space,2,osweb,0,0,0,0,0,2,1745602120838,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,1,odd,453498,274009,307,454141,275612,167042,286740,271927,273169,451293,452499,288325,276,234306,153757,278152,Nouvelle expérience,9,226463,15,1024
