PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,credentialless,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
1,0,50,50,6940,6940,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,4014,4014,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,0,even,134031,77524,144,138048,80167,53764,107491,75852,76684,131503,133011,131418,120,55646,10461,86884,Nouvelle expérience,3,41642,6,1024
1,0,57,57,6004,6004,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,386,386,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,fill_tao2,fill_tao3,1024,2,48000,-16,experiment,,0,even,140936,77524,144,141330,80167,53764,107491,75852,76684,138069,139448,131418,120,55646,10461,86884,Nouvelle expérience,4,42028,7,1024
1,0,63,63,5301,5301,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,378,378,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,stim_dao1,stim_dao4,1024,2,48000,-16,experiment,,0,even,143811,77524,144,144195,80167,53764,107491,75852,76684,141334,142531,131418,120,55646,10461,86884,Nouvelle expérience,5,42406,8,1024
1,0,67,67,4784,4784,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,651,651,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,fill_pan1,fill_pan3,1024,2,48000,-16,experiment,,0,even,146521,77524,144,147178,80167,53764,107491,75852,76684,144199,145131,131418,120,55646,10461,86884,Nouvelle expérience,6,43057,9,1024
1,0,70,70,4328,4328,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,227,227,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,stim_dao2,stim_dao4,1024,2,48000,-16,experiment,,0,even,150261,77524,144,150525,80167,53764,107491,75852,76684,147181,148987,131418,120,55646,10461,86884,Nouvelle expérience,7,43284,10,1024
1,0,64,64,4028,4028,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,m,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,m,space,space,1,1021,1021,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,fill_bao3,fill_dao3,1024,2,48000,-16,experiment,,0,even,153041,77524,144,154076,80167,53764,107491,75852,76684,150528,151992,131418,120,55646,10461,86884,Nouvelle expérience,7,44305,11,1024
1,0,67,67,3731,3731,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,468,468,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,fill_mi1,fill_bi1,1024,2,48000,-16,experiment,,0,even,156501,77524,144,156975,80167,53764,107491,75852,76684,154079,155391,131418,120,55646,10461,86884,Nouvelle expérience,8,44773,12,1024
1,0,62,62,3504,3504,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,m,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,m,m,m,space,space,1,781,781,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,0,even,159822,77524,144,160607,80167,53764,107491,75852,76684,156978,158771,131418,120,55646,10461,86884,Nouvelle expérience,8,45554,13,1024
1,0,64,64,3646,3646,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,5491,5491,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,fill_qi2,fill_xi2,1024,2,48000,-16,experiment,,0,even,163161,77524,144,168653,80167,53764,107491,75852,76684,160608,162051,131418,120,55646,10461,86884,Nouvelle expérience,9,51045,14,1024
1,0,67,67,3442,3442,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,m,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,0,,400.4804094703942,12.81892965787714,Thu Apr 24 2025 23:26:07 GMT+0200 (heure d’été d’Europe centrale),The main experiment item,1.5,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,559,1280,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,1,680,1280,0,2,1,0,q,q,m,space,space,1,583,583,2632,6703,1868,23924,15484,43294,20602,space,space,space,2,osweb,0,0,0,0,0,2,1745530024017,train_e1,train_e1,stim_ma2,stim_ma4,1024,2,48000,-16,experiment,,0,even,170684,77524,144,171270,80167,53764,107491,75852,76684,168657,169659,131418,120,55646,10461,86884,Nouvelle expérience,10,51628,15,1024
