PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,defaultStatus,defaultstatus,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
1,0,81,81,2302,2302,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,10,1,0,0,0,0,10,0,0,0,0,1,1,10,10,0,10,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,623,623,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_tao1,fill_mao1,1024,2,48000,-16,experiment,,1,odd,118149,47909,29,118773,48633,29095,72461,45834,47073,115794,116988,75028,24,32168,14451,57791,Nouvelle expérience,13,36835,16,1024
1,0,82,82,2182,2182,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,11,1,0,0,0,0,11,0,0,0,0,1,1,11,11,0,11,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,262,262,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_ban1,stim_ban3,1024,2,48000,-16,experiment,,1,odd,121406,47909,29,121672,48633,29095,72461,45834,47073,118774,119954,75028,24,32168,14451,57791,Nouvelle expérience,14,37097,17,1024
1,0,83,83,2089,2089,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,12,1,0,0,0,0,12,0,0,0,0,1,1,12,12,0,12,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,502,502,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_la2,fill_ma2,1024,2,48000,-16,experiment,,1,odd,124000,47909,29,124507,48633,29095,72461,45834,47073,121674,123002,75028,24,32168,14451,57791,Nouvelle expérience,15,37599,18,1024
1,0,84,84,2209,2209,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,13,1,0,0,0,0,13,0,0,0,0,1,1,13,13,0,13,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,m,m,q,space,space,1,4373,4373,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_pan3,fill_pan3,1024,2,48000,-16,experiment,,1,odd,127281,47909,29,131657,48633,29095,72461,45834,47073,124509,125893,75028,24,32168,14451,57791,Nouvelle expérience,16,41972,19,1024
1,0,85,85,2109,2109,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,14,1,0,0,0,0,14,0,0,0,0,1,1,14,14,0,14,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,m,m,q,space,space,1,211,211,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_yu1,fill_yu1,1024,2,48000,-16,experiment,,1,odd,134375,47909,29,134589,48633,29095,72461,45834,47073,131659,133016,75028,24,32168,14451,57791,Nouvelle expérience,17,42183,20,1024
1,0,86,86,2025,2025,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,15,1,0,0,0,0,15,0,0,0,0,1,1,15,15,0,15,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,334,334,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,1,odd,136795,47909,29,137132,48633,29095,72461,45834,47073,134591,135796,75028,24,32168,14451,57791,Nouvelle expérience,18,42517,21,1024
1,0,86,86,1942,1942,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,16,1,0,0,0,0,16,0,0,0,0,1,1,16,16,0,16,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,m,m,q,space,space,1,206,206,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_pan2,fill_pan2,1024,2,48000,-16,experiment,,1,odd,139813,47909,29,140023,48633,29095,72461,45834,47073,137133,138472,75028,24,32168,14451,57791,Nouvelle expérience,19,42723,22,1024
1,0,87,87,1864,1864,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,17,1,0,0,0,0,17,0,0,0,0,1,1,17,17,0,17,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,138,138,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_dao2,stim_dao4,1024,2,48000,-16,experiment,,1,odd,143105,47909,29,143248,48633,29095,72461,45834,47073,140026,141822,75028,24,32168,14451,57791,Nouvelle expérience,20,42861,23,1024
1,0,88,88,1818,1818,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,18,1,0,0,0,0,18,0,0,0,0,1,1,18,18,0,18,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,767,767,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_tao2,fill_tiao4,1024,2,48000,-16,experiment,,1,odd,145723,47909,29,146499,48633,29095,72461,45834,47073,143251,144608,75028,24,32168,14451,57791,Nouvelle expérience,21,43628,24,1024
1,0,88,88,1790,1790,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,19,1,0,0,0,0,19,0,0,0,0,1,1,19,19,0,19,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,1116,1116,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_mi1,fill_bi1,1024,2,48000,-16,experiment,,1,odd,148916,47909,29,150040,48633,29095,72461,45834,47073,146502,147812,75028,24,32168,14451,57791,Nouvelle expérience,22,44744,25,1024
