acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,offscreenBuffering,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
81,81,2100,2100,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,20,1,0,0,0,0,20,0,0,0,0,1,1,20,20,0,20,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1019,1019,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_bao3,fill_dao3,1024,2,48000,-16,experiment,,0,even,25150591,25048593,27,25151615,25050314,25031938,25059983,25046515,25047756,25148086,25149546,25077015,23,25034819,25008037,25057369,Nouvelle expérience,21,54608,26,1024
81,81,2033,2033,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,21,1,0,0,0,0,21,0,0,0,0,1,1,21,21,0,21,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,282,282,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ban3,stim_ban3,1024,2,48000,-16,experiment,,0,even,25154525,25048593,27,25154815,25050314,25031938,25059983,25046515,25047756,25151619,25153071,25077015,23,25034819,25008037,25057369,Nouvelle expérience,22,54890,27,1024
82,82,1967,1967,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,22,1,0,0,0,0,22,0,0,0,0,1,1,22,22,0,22,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,185,185,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_pan3,fill_pan3,1024,2,48000,-16,experiment,,0,even,25157586,25048593,27,25157782,25050314,25031938,25059983,25046515,25047756,25154818,25156202,25077015,23,25034819,25008037,25057369,Nouvelle expérience,23,55075,28,1024
83,83,1904,1904,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,23,1,0,0,0,0,23,0,0,0,0,1,1,23,23,0,23,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,133,133,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ban2,stim_ban2,1024,2,48000,-16,experiment,,0,even,25160111,25048593,27,25160249,25050314,25031938,25059983,25046515,25047756,25157785,25158948,25077015,23,25034819,25008037,25057369,Nouvelle expérience,24,55208,29,1024
83,83,1859,1859,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,24,1,0,0,0,0,24,0,0,0,0,1,1,24,24,0,24,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,569,569,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_pan1,fill_pan3,1024,2,48000,-16,experiment,,0,even,25162565,25048593,27,25163149,25050314,25031938,25059983,25046515,25047756,25160251,25161181,25077015,23,25034819,25008037,25057369,Nouvelle expérience,25,55777,30,1024
84,84,1843,1843,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,25,1,0,0,0,0,25,0,0,0,0,1,1,25,25,0,25,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1343,1343,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_pa4,fill_ba4,1024,2,48000,-16,experiment,,0,even,25165543,25048593,27,25166915,25050314,25031938,25059983,25046515,25047756,25163151,25164301,25077015,23,25034819,25008037,25057369,Nouvelle expérience,26,57120,31,1024
84,84,1818,1818,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,26,1,0,0,0,0,26,0,0,0,0,1,1,26,26,0,26,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1068,1068,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_mi1,fill_bi1,1024,2,48000,-16,experiment,,0,even,25169333,25048593,27,25170415,25050314,25031938,25059983,25046515,25047756,25166918,25168229,25077015,23,25034819,25008037,25057369,Nouvelle expérience,27,58188,32,1024
85,85,1850,1850,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,27,1,0,0,0,0,27,0,0,0,0,1,1,27,27,0,27,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,2866,2866,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ban1,stim_ban3,1024,2,48000,-16,experiment,,0,even,25173055,25048593,27,25175949,25050314,25031938,25059983,25046515,25047756,25170417,25171602,25077015,23,25034819,25008037,25057369,Nouvelle expérience,28,61054,33,1024
85,85,1838,1838,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,28,1,0,0,0,0,28,0,0,0,0,1,1,28,28,0,28,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1425,1425,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_seng1,fill_seng2,1024,2,48000,-16,experiment,,0,even,25178629,25048593,27,25180082,25050314,25031938,25059983,25046515,25047756,25175951,25177437,25077015,23,25034819,25008037,25057369,Nouvelle expérience,29,62479,34,1024
86,86,1825,1825,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,29,1,0,0,0,0,29,0,0,0,0,1,1,29,29,0,29,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1385,1385,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_dao1,stim_dao4,1024,2,48000,-16,experiment,,0,even,25182562,25048593,27,25183950,25050314,25031938,25059983,25046515,25047756,25180086,25181282,25077015,23,25034819,25008037,25057369,Nouvelle expérience,30,63864,35,1024
86,86,1798,1798,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,30,1,0,0,0,0,30,0,0,0,0,1,1,30,30,0,30,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,872,872,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_sheng1,stim_sheng2,1024,2,48000,-16,experiment,,0,even,25186498,25048593,27,25187381,25050314,25031938,25059983,25046515,25047756,25183952,25185138,25077015,23,25034819,25008037,25057369,Nouvelle expérience,31,64736,36,1024
86,86,1753,1753,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,31,1,0,0,0,0,31,0,0,0,0,1,1,31,31,0,31,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,141,141,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_sheng1,fill_shong1,1024,2,48000,-16,experiment,,0,even,25189722,25048593,27,25189882,25050314,25031938,25059983,25046515,25047756,25187384,25188570,25077015,23,25034819,25008037,25057369,Nouvelle expérience,32,64877,37,1024
87,87,1735,1735,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,32,1,0,0,0,0,32,0,0,0,0,1,1,32,32,0,32,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1052,1052,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_la1,fill_ma1,1024,2,48000,-16,experiment,,0,even,25192383,25048593,27,25193449,25050314,25031938,25059983,25046515,25047756,25189885,25191175,25077015,23,25034819,25008037,25057369,Nouvelle expérience,33,65929,38,1024
87,87,1705,1705,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,33,1,0,0,0,0,33,0,0,0,0,1,1,33,33,0,33,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,584,584,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_sheng4,stim_sheng4,1024,2,48000,-16,experiment,,0,even,25195839,25048593,27,25196449,25050314,25031938,25059983,25046515,25047756,25193451,25194645,25077015,23,25034819,25008037,25057369,Nouvelle expérience,34,66513,39,1024
88,88,1669,1669,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,34,1,0,0,0,0,34,0,0,0,0,1,1,34,34,0,34,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,251,251,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_seng4,fill_seng4,1024,2,48000,-16,experiment,,0,even,25200218,25048593,27,25200482,25050314,25031938,25059983,25046515,25047756,25196453,25198335,25077015,23,25034819,25008037,25057369,Nouvelle expérience,35,66764,40,1024
88,88,1668,1668,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,35,1,0,0,0,0,35,0,0,0,0,1,1,35,35,0,35,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1611,1611,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_tao2,fill_tao3,1024,2,48000,-16,experiment,,0,even,25203330,25048593,27,25204949,25050314,25031938,25059983,25046515,25047756,25200484,25201842,25077015,23,25034819,25008037,25057369,Nouvelle expérience,36,68375,41,1024
88,88,1676,1676,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,36,1,0,0,0,0,36,0,0,0,0,1,1,36,36,0,36,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,1997,1997,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_yu3,fill_yu3,1024,2,48000,-16,experiment,,0,even,25207810,25048593,27,25209816,25050314,25031938,25059983,25046515,25047756,25204953,25206381,25077015,23,25034819,25008037,25057369,Nouvelle expérience,37,70372,42,1024
88,88,1648,1648,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,37,1,0,0,0,0,37,0,0,0,0,1,1,37,37,0,37,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,482,482,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_qi2,fill_xi2,1024,2,48000,-16,experiment,,0,even,25212365,25048593,27,25212850,25050314,25031938,25059983,25046515,25047756,25209818,25211261,25077015,23,25034819,25008037,25057369,Nouvelle expérience,38,70854,43,1024
89,89,1690,1690,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,38,1,0,0,0,0,38,0,0,0,0,1,1,38,38,0,38,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,3485,3485,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_tao1,fill_mao1,1024,2,48000,-16,experiment,,0,even,25215210,25048593,27,25218716,25050314,25031938,25059983,25046515,25047756,25212852,25214048,25077015,23,25034819,25008037,25057369,Nouvelle expérience,39,74339,44,1024
89,89,1657,1657,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,39,1,0,0,0,0,39,0,0,0,0,1,1,39,39,0,39,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,227,227,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_dao2,stim_dao4,1024,2,48000,-16,experiment,,0,even,25221794,25048593,27,25222049,25050314,25031938,25059983,25046515,25047756,25218718,25220514,25077015,23,25034819,25008037,25057369,Nouvelle expérience,40,74566,45,1024
