acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,offscreenBuffering,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
69,69,2732,2732,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,q,q,0,10,1,0,0,0,0,10,0,0,0,0,1,1,10,10,0,10,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,2212,2212,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,0,even,25112961,25048593,27,25115182,25050314,25031938,25059983,25046515,25047756,25110119,25111916,25077015,23,25034819,25008037,25057369,Nouvelle expérience,11,43714,16,1024
71,71,2575,2575,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,11,1,0,0,0,0,11,0,0,0,0,1,1,11,11,0,11,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,62,62,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_sheng3,stim_sheng3,1024,2,48000,-16,experiment,,0,even,25118276,25048593,27,25118348,25050314,25031938,25059983,25046515,25047756,25115184,25116729,25077015,23,25034819,25008037,25057369,Nouvelle expérience,12,43776,17,1024
72,72,2668,2668,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,12,1,0,0,0,0,12,0,0,0,0,1,1,12,12,0,12,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,4247,4247,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_pan2,fill_pang2,1024,2,48000,-16,experiment,,0,even,25121066,25048593,27,25125316,25050314,25031938,25059983,25046515,25047756,25118351,25119692,25077015,23,25034819,25008037,25057369,Nouvelle expérience,13,48023,18,1024
74,74,2545,2545,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,13,1,0,0,0,0,13,0,0,0,0,1,1,13,13,0,13,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,338,338,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ban2,stim_ban4,1024,2,48000,-16,experiment,,0,even,25127431,25048593,27,25127781,25050314,25031938,25059983,25046515,25047756,25125318,25126479,25077015,23,25034819,25008037,25057369,Nouvelle expérience,14,48361,19,1024
75,75,2448,2448,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,14,1,0,0,0,0,14,0,0,0,0,1,1,14,14,0,14,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,592,592,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_yi1,stim_yi1,1024,2,48000,-16,experiment,,0,even,25129644,25048593,27,25130248,25050314,25031938,25059983,25046515,25047756,25127784,25128714,25077015,23,25034819,25008037,25057369,Nouvelle expérience,15,48953,20,1024
76,76,2370,2370,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,15,1,0,0,0,0,15,0,0,0,0,1,1,15,15,0,15,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,827,827,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ma2,stim_ma2,1024,2,48000,-16,experiment,,0,even,25132250,25048593,27,25133082,25050314,25031938,25059983,25046515,25047756,25130250,25131250,25077015,23,25034819,25008037,25057369,Nouvelle expérience,16,49780,21,1024
77,77,2304,2304,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,16,1,0,0,0,0,16,0,0,0,0,1,1,16,16,0,16,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,904,904,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_yi2,stim_yi3,1024,2,48000,-16,experiment,,0,even,25135804,25048593,27,25136715,25050314,25031938,25059983,25046515,25047756,25133085,25134143,25077015,23,25034819,25008037,25057369,Nouvelle expérience,17,50684,22,1024
78,78,2296,2296,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,17,1,0,0,0,0,17,0,0,0,0,1,1,17,17,0,17,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,2117,2117,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_yi3,stim_yi3,1024,2,48000,-16,experiment,,0,even,25140039,25048593,27,25142182,25050314,25031938,25059983,25046515,25047756,25136717,25138378,25077015,23,25034819,25008037,25057369,Nouvelle expérience,18,52801,23,1024
79,79,2216,2216,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,18,1,0,0,0,0,18,0,0,0,0,1,1,18,18,0,18,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,381,381,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_pan2,fill_pan2,1024,2,48000,-16,experiment,,0,even,25144868,25048593,27,25145282,25050314,25031938,25059983,25046515,25047756,25142186,25143527,25077015,23,25034819,25008037,25057369,Nouvelle expérience,19,53182,24,1024
80,80,2144,2144,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,19,1,0,0,0,0,19,0,0,0,0,1,1,19,19,0,19,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,407,407,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_sheng1,stim_sheng4,1024,2,48000,-16,experiment,,0,even,25147666,25048593,27,25148082,25050314,25031938,25059983,25046515,25047756,25145285,25146471,25077015,23,25034819,25008037,25057369,Nouvelle expérience,20,53589,25,1024
